,Server,Time_floor,variable,Value
0,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,0,CPU Usage (%),3.846153846153846e-05
400,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,0,Memory Usage (%),3.846153846153846e-06
800,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,0,Latency (s),0.0003846153846153846
1,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,1,CPU Usage (%),3.7037037037037037e-05
401,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,1,Memory Usage (%),3.7037037037037037e-06
801,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,1,Latency (s),0.00037037037037037035
2,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,2,CPU Usage (%),0.0
402,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,2,Memory Usage (%),0.0
802,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,2,Latency (s),0.0
3,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,3,CPU Usage (%),0.0
403,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,3,Memory Usage (%),0.0
803,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,3,Latency (s),0.0
4,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,4,CPU Usage (%),0.00011538461538461538
404,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,4,Memory Usage (%),1.153846153846154e-05
804,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,4,Latency (s),0.0011538461538461537
5,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,5,CPU Usage (%),4e-05
405,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,5,Memory Usage (%),4e-06
805,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,5,Latency (s),0.0004
6,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,6,CPU Usage (%),8e-05
406,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,6,Memory Usage (%),8e-06
806,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,6,Latency (s),0.0008
7,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,7,CPU Usage (%),0.00011538461538461538
407,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,7,Memory Usage (%),1.153846153846154e-05
807,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,7,Latency (s),0.0011538461538461537
8,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,8,CPU Usage (%),7.407407407407407e-05
408,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,8,Memory Usage (%),7.4074074074074075e-06
808,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,8,Latency (s),0.0007407407407407407
9,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,9,CPU Usage (%),0.00010344827586206896
409,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,9,Memory Usage (%),1.0344827586206898e-05
809,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,9,Latency (s),0.0010344827586206897
10,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,10,CPU Usage (%),3.571428571428572e-05
410,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,10,Memory Usage (%),3.5714285714285718e-06
810,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,10,Latency (s),0.00035714285714285714
11,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,11,CPU Usage (%),7.142857142857143e-05
411,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,11,Memory Usage (%),7.1428571428571436e-06
811,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,11,Latency (s),0.0007142857142857143
12,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,12,CPU Usage (%),7.692307692307693e-05
412,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,12,Memory Usage (%),7.692307692307692e-06
812,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,12,Latency (s),0.0007692307692307692
13,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,13,CPU Usage (%),3.571428571428572e-05
413,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,13,Memory Usage (%),3.5714285714285718e-06
813,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,13,Latency (s),0.00035714285714285714
14,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,14,CPU Usage (%),3.571428571428572e-05
414,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,14,Memory Usage (%),3.5714285714285718e-06
814,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,14,Latency (s),0.00035714285714285714
15,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,15,CPU Usage (%),3.7037037037037037e-05
415,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,15,Memory Usage (%),3.7037037037037037e-06
815,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,15,Latency (s),0.00037037037037037035
16,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,16,CPU Usage (%),3.571428571428572e-05
416,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,16,Memory Usage (%),3.5714285714285718e-06
816,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,16,Latency (s),0.00035714285714285714
17,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,17,CPU Usage (%),0.0
417,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,17,Memory Usage (%),0.0
817,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,17,Latency (s),0.0
18,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,18,CPU Usage (%),7.692307692307693e-05
418,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,18,Memory Usage (%),7.692307692307692e-06
818,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,18,Latency (s),0.0007692307692307692
19,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,19,CPU Usage (%),7.142857142857143e-05
419,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,19,Memory Usage (%),7.1428571428571436e-06
819,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,19,Latency (s),0.0007142857142857143
20,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,20,CPU Usage (%),0.0
420,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,20,Memory Usage (%),0.0
820,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,20,Latency (s),0.0
21,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,21,CPU Usage (%),0.0
421,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,21,Memory Usage (%),0.0
821,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,21,Latency (s),0.0
22,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,22,CPU Usage (%),0.0
422,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,22,Memory Usage (%),0.0
822,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,22,Latency (s),0.0
23,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,23,CPU Usage (%),0.0
423,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,23,Memory Usage (%),0.0
823,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,23,Latency (s),0.0
24,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,24,CPU Usage (%),0.00011111111111111112
424,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,24,Memory Usage (%),1.1111111111111112e-05
824,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,24,Latency (s),0.0011111111111111111
25,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,25,CPU Usage (%),3.7037037037037037e-05
425,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,25,Memory Usage (%),3.7037037037037037e-06
825,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,25,Latency (s),0.00037037037037037035
26,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,26,CPU Usage (%),0.0
426,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,26,Memory Usage (%),0.0
826,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,26,Latency (s),0.0
27,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,27,CPU Usage (%),0.0
427,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,27,Memory Usage (%),0.0
827,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,27,Latency (s),0.0
28,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,28,CPU Usage (%),0.0
428,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,28,Memory Usage (%),0.0
828,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,28,Latency (s),0.0
29,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,29,CPU Usage (%),3.7037037037037037e-05
429,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,29,Memory Usage (%),3.7037037037037037e-06
829,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,29,Latency (s),0.00037037037037037035
30,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,30,CPU Usage (%),3.7037037037037037e-05
430,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,30,Memory Usage (%),3.7037037037037037e-06
830,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,30,Latency (s),0.00037037037037037035
31,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,31,CPU Usage (%),7.407407407407407e-05
431,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,31,Memory Usage (%),7.4074074074074075e-06
831,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,31,Latency (s),0.0007407407407407407
32,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,32,CPU Usage (%),7.692307692307693e-05
432,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,32,Memory Usage (%),7.692307692307692e-06
832,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,32,Latency (s),0.0003846153846153846
33,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,33,CPU Usage (%),0.0
433,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,33,Memory Usage (%),0.0
833,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,33,Latency (s),0.0004
34,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,34,CPU Usage (%),0.0
434,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,34,Memory Usage (%),0.0
834,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,34,Latency (s),0.0
35,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,35,CPU Usage (%),3.4482758620689657e-05
435,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,35,Memory Usage (%),3.448275862068966e-06
835,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,35,Latency (s),0.0003448275862068966
36,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,36,CPU Usage (%),8e-05
436,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,36,Memory Usage (%),8e-06
836,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,36,Latency (s),0.0008
37,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,37,CPU Usage (%),3.7037037037037037e-05
437,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,37,Memory Usage (%),3.7037037037037037e-06
837,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,37,Latency (s),0.0
38,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,38,CPU Usage (%),7.407407407407407e-05
438,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,38,Memory Usage (%),7.4074074074074075e-06
838,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,38,Latency (s),0.0007407407407407407
39,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,39,CPU Usage (%),0.0
439,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,39,Memory Usage (%),0.0
839,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,39,Latency (s),0.0
40,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,40,CPU Usage (%),0.00012
440,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,40,Memory Usage (%),1.2e-05
840,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,40,Latency (s),0.0012
41,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,41,CPU Usage (%),7.692307692307693e-05
441,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,41,Memory Usage (%),7.692307692307692e-06
841,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,41,Latency (s),0.0003846153846153846
42,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,42,CPU Usage (%),0.00011538461538461538
442,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,42,Memory Usage (%),1.153846153846154e-05
842,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,42,Latency (s),0.0011538461538461537
43,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,43,CPU Usage (%),8e-05
443,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,43,Memory Usage (%),8e-06
843,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,43,Latency (s),0.0008
44,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,44,CPU Usage (%),0.00010714285714285715
444,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,44,Memory Usage (%),1.0714285714285716e-05
844,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,44,Latency (s),0.0010714285714285715
45,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,45,CPU Usage (%),0.00015384615384615385
445,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,45,Memory Usage (%),1.5384615384615384e-05
845,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,45,Latency (s),0.0011538461538461537
46,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,46,CPU Usage (%),8e-05
446,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,46,Memory Usage (%),8e-06
846,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,46,Latency (s),0.0008
47,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,47,CPU Usage (%),0.0
447,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,47,Memory Usage (%),0.0
847,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,47,Latency (s),0.00035714285714285714
48,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,48,CPU Usage (%),3.846153846153846e-05
448,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,48,Memory Usage (%),3.846153846153846e-06
848,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,48,Latency (s),0.0003846153846153846
49,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,49,CPU Usage (%),0.00011538461538461538
449,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,49,Memory Usage (%),1.153846153846154e-05
849,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,49,Latency (s),0.0007692307692307692
50,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,50,CPU Usage (%),3.846153846153846e-05
450,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,50,Memory Usage (%),3.846153846153846e-06
850,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,50,Latency (s),0.0003846153846153846
51,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,51,CPU Usage (%),0.0
451,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,51,Memory Usage (%),0.0
851,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,51,Latency (s),0.0
52,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,52,CPU Usage (%),7.692307692307693e-05
452,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,52,Memory Usage (%),7.692307692307692e-06
852,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,52,Latency (s),0.0007692307692307692
53,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,53,CPU Usage (%),0.0
453,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,53,Memory Usage (%),0.0
853,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,53,Latency (s),0.0
54,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,54,CPU Usage (%),0.00011538461538461538
454,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,54,Memory Usage (%),1.153846153846154e-05
854,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,54,Latency (s),0.0011538461538461537
55,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,55,CPU Usage (%),0.0
455,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,55,Memory Usage (%),0.0
855,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,55,Latency (s),0.0
56,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,56,CPU Usage (%),3.571428571428572e-05
456,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,56,Memory Usage (%),3.5714285714285718e-06
856,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,56,Latency (s),0.00035714285714285714
57,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,57,CPU Usage (%),3.7037037037037037e-05
457,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,57,Memory Usage (%),3.7037037037037037e-06
857,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,57,Latency (s),0.00037037037037037035
58,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,58,CPU Usage (%),4.1666666666666665e-05
458,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,58,Memory Usage (%),4.166666666666667e-06
858,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,58,Latency (s),0.0004166666666666667
59,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,59,CPU Usage (%),6.896551724137931e-05
459,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,59,Memory Usage (%),6.896551724137932e-06
859,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,59,Latency (s),0.0003448275862068966
60,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,60,CPU Usage (%),8e-05
460,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,60,Memory Usage (%),8e-06
860,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,60,Latency (s),0.0008
61,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,61,CPU Usage (%),0.0
461,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,61,Memory Usage (%),0.0
861,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,61,Latency (s),0.0
62,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,62,CPU Usage (%),0.0
462,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,62,Memory Usage (%),0.0
862,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,62,Latency (s),0.0
63,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,63,CPU Usage (%),0.0
463,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,63,Memory Usage (%),0.0
863,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,63,Latency (s),0.0
64,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,64,CPU Usage (%),0.0
464,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,64,Memory Usage (%),0.0
864,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,64,Latency (s),0.0
65,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,65,CPU Usage (%),3.846153846153846e-05
465,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,65,Memory Usage (%),3.846153846153846e-06
865,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,65,Latency (s),0.0003846153846153846
66,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,66,CPU Usage (%),0.0
466,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,66,Memory Usage (%),0.0
866,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,66,Latency (s),0.0
67,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,67,CPU Usage (%),3.846153846153846e-05
467,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,67,Memory Usage (%),3.846153846153846e-06
867,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,67,Latency (s),0.0003846153846153846
68,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,68,CPU Usage (%),4e-05
468,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,68,Memory Usage (%),4e-06
868,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,68,Latency (s),0.0004
69,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,69,CPU Usage (%),0.0
469,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,69,Memory Usage (%),0.0
869,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,69,Latency (s),0.0
70,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,70,CPU Usage (%),0.0
470,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,70,Memory Usage (%),0.0
870,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,70,Latency (s),0.0
71,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,71,CPU Usage (%),4e-05
471,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,71,Memory Usage (%),4e-06
871,authentication#31fa1c1c-c69c-4db1-9e42-06a4034d1501,71,Latency (s),0.0004
